"Date","Time","33 KV Rajendrapur Incommer","33 KV Joydebpur Incommer","T-1 Transformer","T-2 Transformer","T-3 Transformer","T-4 Transformer","11 KV T1 Transformer Incommer","11 KV T2 Transformer Incommer","11 KV T3 Transformer Incommer","11 KV T4 Transformer Incommer","Power (MW)","Supply (MW)","Demand (MW)"
"01-08-2021","00:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 216; Y-Phase: 276; B-Phase: 298; MW: 5","R-Phase: 172; Y-Phase: 246; B-Phase: 197; MW: 3.8","R-Phase: 233; Y-Phase: 233; B-Phase: 216; MW: 4.1","R-Phase: 192; Y-Phase: 188; B-Phase: 182; MW: 3.7","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","25","16.6","16.6"
"01-08-2021","01:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 216; Y-Phase: 276; B-Phase: 298; MW: 5","R-Phase: 170; Y-Phase: 159; B-Phase: 231; MW: 3.5","R-Phase: 233; Y-Phase: 233; B-Phase: 216; MW: 4.1","R-Phase: 192; Y-Phase: 188; B-Phase: 182; MW: 3.7","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","25","16.3","16.3"
"01-08-2021","02:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 216; Y-Phase: 276; B-Phase: 298; MW: 5","R-Phase: 170; Y-Phase: 215; B-Phase: 230; MW: 3.5","R-Phase: 240; Y-Phase: 240; B-Phase: 215; MW: 4.1","R-Phase: 192; Y-Phase: 188; B-Phase: 182; MW: 3.7","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","25","16.3","16.3"
"01-08-2021","03:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 216; Y-Phase: 276; B-Phase: 297; MW: 5","R-Phase: 170; Y-Phase: 213; B-Phase: 230; MW: 3.5","R-Phase: 240; Y-Phase: 242; B-Phase: 213; MW: 4.1","R-Phase: 192; Y-Phase: 188; B-Phase: 182; MW: 3.7","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","25","16.3","16.3"
"01-08-2021","04:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 216; Y-Phase: 276; B-Phase: 297; MW: 5","R-Phase: 170; Y-Phase: 215; B-Phase: 230; MW: 3.5","R-Phase: 240; Y-Phase: 240; B-Phase: 215; MW: 4.1","R-Phase: 192; Y-Phase: 188; B-Phase: 182; MW: 3.7","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","25","16.3","16.3"
"01-08-2021","05:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 216; Y-Phase: 276; B-Phase: 297; MW: 5","R-Phase: 170; Y-Phase: 215; B-Phase: 230; MW: 3.5","R-Phase: 240; Y-Phase: 245; B-Phase: 215; MW: 4.1","R-Phase: 192; Y-Phase: 188; B-Phase: 182; MW: 3.7","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","25","16.3","16.3"
"01-08-2021","06:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 203; Y-Phase: 245; B-Phase: 268; MW: 4.5","R-Phase: 160; Y-Phase: 213; B-Phase: 180; MW: 3.5","R-Phase: 240; Y-Phase: 245; B-Phase: 240; MW: 4.5","R-Phase: 181; Y-Phase: 185; B-Phase: 180; MW: 3.5","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","25","15.8","15.8"
"01-08-2021","07:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 203; Y-Phase: 245; B-Phase: 268; MW: 4.5","R-Phase: 160; Y-Phase: 215; B-Phase: 180; MW: 3.5","R-Phase: 240; Y-Phase: 245; B-Phase: 240; MW: 4.5","R-Phase: 181; Y-Phase: 186; B-Phase: 180; MW: 3.3","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","25","15.8","15.8"
"01-08-2021","08:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 106; Y-Phase: 106; B-Phase: 106; MW: 53","R-Phase: 72; Y-Phase: 72; B-Phase: 72; MW: 3.6","R-Phase: 94; Y-Phase: 94; B-Phase: 94; MW: 4.7","R-Phase: 60; Y-Phase: 60; B-Phase: 60; MW: 3","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","25","16.6","16.6"
"01-08-2021","09:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 102; Y-Phase: 102; B-Phase: 102; MW: 5.1","R-Phase: 72; Y-Phase: 72; B-Phase: 72; MW: 3.6","R-Phase: 106; Y-Phase: 106; B-Phase: 106; MW: 5.3","R-Phase: 60; Y-Phase: 60; B-Phase: 60; MW: 3","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","33","17","17"
"01-08-2021","10:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 97; Y-Phase: 97; B-Phase: 97; MW: 4.8","R-Phase: 76; Y-Phase: 76; B-Phase: 76; MW: 3.8","R-Phase: 104; Y-Phase: 104; B-Phase: 104; MW: 5.2","R-Phase: 60; Y-Phase: 60; B-Phase: 60; MW: 3","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","33","16.8","16.8"
"01-08-2021","11:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 97; Y-Phase: 97; B-Phase: 97; MW: 4.8","R-Phase: 82; Y-Phase: 82; B-Phase: 82; MW: 4.1","R-Phase: 104; Y-Phase: 104; B-Phase: 104; MW: 5.2","R-Phase: 58; Y-Phase: 58; B-Phase: 58; MW: 2.8","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","33","17","17"
"01-08-2021","12:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 100; Y-Phase: 100; B-Phase: 100; MW: 5","R-Phase: 88; Y-Phase: 88; B-Phase: 88; MW: 4.4","R-Phase: 107; Y-Phase: 107; B-Phase: 107; MW: 5.3","R-Phase: 66; Y-Phase: 66; B-Phase: 66; MW: 3.2","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","33","18","18"
"01-08-2021","13:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 98; Y-Phase: 98; B-Phase: 98; MW: 4.9","R-Phase: 86; Y-Phase: 86; B-Phase: 86; MW: 4.3","R-Phase: 104; Y-Phase: 104; B-Phase: 104; MW: 5.2","R-Phase: 74; Y-Phase: 74; B-Phase: 74; MW: 3.7","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","33","18.1","18.1"
"01-08-2021","15:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 243; Y-Phase: 273; B-Phase: 308; MW: 5.2","R-Phase: 200; Y-Phase: 259; B-Phase: 216; MW: 4.2","R-Phase: 306; Y-Phase: 307; B-Phase: 301; MW: 5.8","R-Phase: 196; Y-Phase: 192; B-Phase: 190; MW: 3.6","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","33","18.8","18.8"
"01-08-2021","16:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 228; Y-Phase: 261; B-Phase: 290; MW: 4.9","R-Phase: 206; Y-Phase: 256; B-Phase: 222; MW: 4.2","R-Phase: 290; Y-Phase: 286; B-Phase: 281; MW: 5.4","R-Phase: 192; Y-Phase: 191; B-Phase: 186; MW: 3.5","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","33","18","18"
"01-08-2021","14:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 96; Y-Phase: 96; B-Phase: 96; MW: 4.8","R-Phase: 82; Y-Phase: 82; B-Phase: 82; MW: 4.1","R-Phase: 108; Y-Phase: 108; B-Phase: 108; MW: 5.4","R-Phase: 72; Y-Phase: 72; B-Phase: 72; MW: 3.6","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","33","17.9","17.9"
"01-08-2021","17:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 221; Y-Phase: 251; B-Phase: 280; MW: 4.7","R-Phase: 275; Y-Phase: 224; B-Phase: 189; MW: 3.7","R-Phase: 284; Y-Phase: 286; B-Phase: 276; MW: 5.4","R-Phase: 182; Y-Phase: 181; B-Phase: 178; MW: 3.4","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","33","17.2","17.2"
"01-08-2021","18:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 210; Y-Phase: 242; B-Phase: 274; MW: 4.5","R-Phase: 170; Y-Phase: 211; B-Phase: 185; MW: 3.4","R-Phase: 249; Y-Phase: 257; B-Phase: 254; MW: 4.7","R-Phase: 179; Y-Phase: 177; B-Phase: 177; MW: 3.3","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","33","15.9","15.9"
"01-08-2021","19:00:00","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: 264; Y-Phase: 311; B-Phase: 347; MW: 5.7","R-Phase: 208; Y-Phase: 276; B-Phase: 220; MW: 4.3","R-Phase: 302; Y-Phase: 294; B-Phase: 292; MW: 5.5","R-Phase: 217; Y-Phase: 220; B-Phase: 211; MW: 4","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","R-Phase: ; Y-Phase: ; B-Phase: ; MW: ","33","19.5","19.5"
